rgb_img,depth_img,path,mu,nu,lin_vel,ang_vel,x,y,traversability,timestamps
color/color_1733907498012414098.png,depth/depth_1733907498012605017.png,path/path_17339074980.png,mu/mu_17339074980.png,nu/nu_17339074980.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5565370917320251, 0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9678906202316284, 0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16964171597725594, 0.16964171597725594, 0.3392875328395097, 0.5089307022265516, 0.8481903786251654, 0.9047371069687021, 1.0178343877869385, 1.2440158572524402, 1.4700934277723563, 1.639734347190787, 1.8093680786517576, 2.035559642092456, 0.2826500671211587]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03655004502088323, 0.03655004502088323, 0.032642889125410614, 0.0024242936976763274, -0.18203084813238884, -0.20510477598884613, -0.20610617643899456, -0.29636273193741275, -0.6058562300583423, -0.6453603587176352, -0.730063425604564, -0.7633428597007171, -0.32958921563561794]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42810547088129597, 0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253]",1733907498
color/color_1733907498212570051.png,depth/depth_1733907498212814349.png,path/path_17339074981.png,mu/mu_17339074981.png,nu/nu_17339074981.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5565370917320251, 0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382, 1.1140390634536743]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9678906202316284, 0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16964171597725594, 0.16964171597725594, 0.3392875328395097, 0.5089307022265516, 0.8481903786251654, 0.9047371069687021, 1.0178343877869385, 1.2440158572524402, 1.4700934277723563, 1.639734347190787, 1.8093680786517576, 2.035559642092456, 2.318209709213615, 0.282725708246189]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03655004502088323, 0.03655004502088323, 0.032642889125410614, 0.0024242936976763274, -0.18203084813238884, -0.20510477598884613, -0.20610617643899456, -0.29636273193741275, -0.6058562300583423, -0.6453603587176352, -0.730063425604564, -0.7633428597007171, -1.0929320753363352, -0.12354485403014287]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42810547088129597, 0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253, 0.7468640912742817]",1733907498
color/color_1733907498412205023.png,depth/depth_1733907498412341061.png,path/path_17339074982.png,mu/mu_17339074982.png,nu/nu_17339074982.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5565370917320251, 0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382, 1.1140390634536743, 1.113118052482605]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9678906202316284, 0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.16964171597725594, 0.16964171597725594, 0.3392875328395097, 0.5089307022265516, 0.8481903786251654, 0.9047371069687021, 1.0178343877869385, 1.2440158572524402, 1.4700934277723563, 1.639734347190787, 1.8093680786517576, 2.035559642092456, 2.318209709213615, 2.600935417459804, 0.11308536330961899]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.03655004502088323, 0.03655004502088323, 0.032642889125410614, 0.0024242936976763274, -0.18203084813238884, -0.20510477598884613, -0.20610617643899456, -0.29636273193741275, -0.6058562300583423, -0.6453603587176352, -0.730063425604564, -0.7633428597007171, -1.0929320753363352, -1.216476929366478, -0.08169209765804923]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.42810547088129597, 0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253, 0.7468640912742817, 0.8]",1733907498
color/color_1733907498613311704.png,depth/depth_1733907498613511072.png,path/path_17339074983.png,mu/mu_17339074983.png,nu/nu_17339074983.png,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5565370917320251, 0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382, 1.1140390634536743, 1.113118052482605, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, -0.9678906202316284, 0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.16964171597725594, 0.16964171597725594, 0.3392875328395097, 0.5089307022265516, 0.8481903786251654, 0.9047371069687021, 1.0178343877869385, 1.2440158572524402, 1.4700934277723563, 1.639734347190787, 1.8093680786517576, 2.035559642092456, 2.318209709213615, 2.600935417459804, 2.714020780769423, 0.22617463640542365]","[0.0, 0.0, 0.0, 0.0, 0.03655004502088323, 0.03655004502088323, 0.032642889125410614, 0.0024242936976763274, -0.18203084813238884, -0.20510477598884613, -0.20610617643899456, -0.29636273193741275, -0.6058562300583423, -0.6453603587176352, -0.730063425604564, -0.7633428597007171, -1.0929320753363352, -1.216476929366478, -1.2981690270245274, -0.10750084441310259]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.42810547088129597, 0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253, 0.7468640912742817, 0.8, 0.8]",1733907498
color/color_1733907499014172241.png,depth/depth_1733907499014032812.png,path/path_17339074990.png,mu/mu_17339074990.png,nu/nu_17339074990.png,"[0.0, 0.0, 0.0, 0.0, 0.5565370917320251, 0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382, 1.1140390634536743, 1.113118052482605, 0.0, 1.1142585277557373]","[0.0, 0.0, 0.0, 0.0, -0.9678906202316284, 0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.16964171597725594, 0.16964171597725594, 0.3392875328395097, 0.5089307022265516, 0.8481903786251654, 0.9047371069687021, 1.0178343877869385, 1.2440158572524402, 1.4700934277723563, 1.639734347190787, 1.8093680786517576, 2.035559642092456, 2.318209709213615, 2.600935417459804, 2.714020780769423, 2.940195417174847, 0.16962804648564053]","[0.0, 0.0, 0.0, 0.03655004502088323, 0.03655004502088323, 0.032642889125410614, 0.0024242936976763274, -0.18203084813238884, -0.20510477598884613, -0.20610617643899456, -0.29636273193741275, -0.6058562300583423, -0.6453603587176352, -0.730063425604564, -0.7633428597007171, -1.0929320753363352, -1.216476929366478, -1.2981690270245274, -1.4056698714376301, -0.10184597338734787]","[0.0, 0.0, 0.0, 0.0, 0.42810547088129597, 0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253, 0.7468640912742817, 0.8, 0.8, 0.7487832811458015]",1733907499
color/color_1733907499214176011.png,depth/depth_1733907499213743225.png,path/path_17339074991.png,mu/mu_17339074991.png,nu/nu_17339074991.png,"[0.0, 0.0, 0.0, 0.5565370917320251, 0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382, 1.1140390634536743, 1.113118052482605, 0.0, 1.1142585277557373, 1.1143463850021362]","[0.0, 0.0, 0.0, -0.9678906202316284, 0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.16964171597725594, 0.16964171597725594, 0.3392875328395097, 0.5089307022265516, 0.8481903786251654, 0.9047371069687021, 1.0178343877869385, 1.2440158572524402, 1.4700934277723563, 1.639734347190787, 1.8093680786517576, 2.035559642092456, 2.318209709213615, 2.600935417459804, 2.714020780769423, 2.940195417174847, 3.1098234636604873, 0.1696414026501528]","[0.0, 0.0, 0.03655004502088323, 0.03655004502088323, 0.032642889125410614, 0.0024242936976763274, -0.18203084813238884, -0.20510477598884613, -0.20610617643899456, -0.29636273193741275, -0.6058562300583423, -0.6453603587176352, -0.730063425604564, -0.7633428597007171, -1.0929320753363352, -1.216476929366478, -1.2981690270245274, -1.4056698714376301, -1.507515844824978, -0.03612823431924615]","[0.0, 0.0, 0.0, 0.42810547088129597, 0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253, 0.7468640912742817, 0.8, 0.8, 0.7487832811458015, 0.7487832811458015]",1733907499
color/color_1733907499414304362.png,depth/depth_1733907499413858392.png,path/path_17339074992.png,mu/mu_17339074992.png,nu/nu_17339074992.png,"[0.0, 0.0, 0.5565370917320251, 0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382, 1.1140390634536743, 1.113118052482605, 0.0, 1.1142585277557373, 1.1143463850021362, 0.5564494729042053]","[0.0, 0.0, -0.9678906202316284, 0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9677382707595824]","[0.0, 0.16964171597725594, 0.16964171597725594, 0.3392875328395097, 0.5089307022265516, 0.8481903786251654, 0.9047371069687021, 1.0178343877869385, 1.2440158572524402, 1.4700934277723563, 1.639734347190787, 1.8093680786517576, 2.035559642092456, 2.318209709213615, 2.600935417459804, 2.714020780769423, 2.940195417174847, 3.1098234636604873, 3.27946486631064, 0.11309047074982774]","[0.0, 0.03655004502088323, 0.03655004502088323, 0.032642889125410614, 0.0024242936976763274, -0.18203084813238884, -0.20510477598884613, -0.20610617643899456, -0.29636273193741275, -0.6058562300583423, -0.6453603587176352, -0.730063425604564, -0.7633428597007171, -1.0929320753363352, -1.216476929366478, -1.2981690270245274, -1.4056698714376301, -1.507515844824978, -1.543644079144224, -0.04393227959512344]","[0.0, 0.0, 0.42810547088129597, 0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253, 0.7468640912742817, 0.8, 0.8, 0.7487832811458015, 0.7487832811458015, 0.7487832811458015]",1733907499
color/color_1733907499612985294.png,depth/depth_1733907499613946197.png,path/path_17339074993.png,mu/mu_17339074993.png,nu/nu_17339074993.png,"[0.0, 0.5565370917320251, 0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382, 1.1140390634536743, 1.113118052482605, 0.0, 1.1142585277557373, 1.1143463850021362, 0.5564494729042053, 1.1129865646362305]","[0.0, -0.9678906202316284, 0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9677382707595824, 0.0]","[0.16964171597725594, 0.16964171597725594, 0.3392875328395097, 0.5089307022265516, 0.8481903786251654, 0.9047371069687021, 1.0178343877869385, 1.2440158572524402, 1.4700934277723563, 1.639734347190787, 1.8093680786517576, 2.035559642092456, 2.318209709213615, 2.600935417459804, 2.714020780769423, 2.940195417174847, 3.1098234636604873, 3.27946486631064, 3.3925553370604677, 0.1696458453613583]","[0.03655004502088323, 0.03655004502088323, 0.032642889125410614, 0.0024242936976763274, -0.18203084813238884, -0.20510477598884613, -0.20610617643899456, -0.29636273193741275, -0.6058562300583423, -0.6453603587176352, -0.730063425604564, -0.7633428597007171, -1.0929320753363352, -1.216476929366478, -1.2981690270245274, -1.4056698714376301, -1.507515844824978, -1.543644079144224, -1.5875763587393474, -0.0005045050128452133]","[0.0, 0.42810547088129597, 0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253, 0.7468640912742817, 0.8, 0.8, 0.7487832811458015, 0.7487832811458015, 0.7487832811458015, 0.8]",1733907499
color/color_1733907500013985546.png,depth/depth_1733907500014125968.png,path/path_17339075000.png,mu/mu_17339075000.png,nu/nu_17339075000.png,"[0.5565370917320251, 0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382, 1.1140390634536743, 1.113118052482605, 0.0, 1.1142585277557373, 1.1143463850021362, 0.5564494729042053, 1.1129865646362305, 0.0]","[-0.9678906202316284, 0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9677382707595824, 0.0, 0.0]","[0.0, 0.16964581686225375, 0.3392889862492956, 0.6785486626479096, 0.7350953909914463, 0.8481926718096827, 1.0743741412751844, 1.3004517117951004, 1.4700926312135312, 1.6397263626745018, 1.8659179261152001, 2.148567993236359, 2.4312937014825478, 2.544379064792167, 2.7705537011975907, 2.9401817476832313, 3.109823150333384, 3.2229136210832117, 3.39255946644457, 0.22611257635103943]","[0.0, -0.003907155895472615, -0.0341257513232069, -0.21858089315327206, -0.24165482100972935, -0.24265622145987778, -0.33291277695829596, -0.6424062750792254, -0.6819104037385183, -0.7666134706254472, -0.7998929047216002, -1.1294821203572183, -1.2530269743873612, -1.3347190720454105, -1.4422199164585132, -1.544065889845861, -1.5801941241651072, -1.6241264037602305, -1.6246309087730757, -0.25571071013422775]","[0.42810547088129597, 0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253, 0.7468640912742817, 0.8, 0.8, 0.7487832811458015, 0.7487832811458015, 0.7487832811458015, 0.8, 0.6636487931993162]",1733907500
color/color_1733907500215042301.png,depth/depth_1733907500215769850.png,path/path_17339075001.png,mu/mu_17339075001.png,nu/nu_17339075001.png,"[0.0, 0.0, 0.557085394859314, 1.114082932472229, 0.0, 1.1130741834640503, 1.1200408935546875, 1.1200852394104004, 1.113118052482605, 0.5492717027664185, 1.6714535951614382, 1.1140390634536743, 1.113118052482605, 0.0, 1.1142585277557373, 1.1143463850021362, 0.5564494729042053, 1.1129865646362305, 0.0, 0.0]","[0.0, 0.0, 0.9688441157341005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9552551507949828, 0.968958616256714, 0.0, 0.0, 0.0, 0.0, 0.0, -0.9677382707595824, 0.0, 0.0, 0.0]","[0.16964581686225375, 0.3392889862492956, 0.6785486626479096, 0.7350953909914463, 0.8481926718096827, 1.0743741412751844, 1.3004517117951004, 1.4700926312135312, 1.6397263626745018, 1.8659179261152001, 2.148567993236359, 2.4312937014825478, 2.544379064792167, 2.7705537011975907, 2.9401817476832313, 3.109823150333384, 3.2229136210832117, 3.39255946644457, 3.6186720427956094, 0.1696402297835769]","[-0.003907155895472615, -0.0341257513232069, -0.21858089315327206, -0.24165482100972935, -0.24265622145987778, -0.33291277695829596, -0.6424062750792254, -0.6819104037385183, -0.7666134706254472, -0.7998929047216002, -1.1294821203572183, -1.2530269743873612, -1.3347190720454105, -1.4422199164585132, -1.544065889845861, -1.5801941241651072, -1.6241264037602305, -1.6246309087730757, -1.8803416189073034, -0.041523439212560326]","[0.42831635670721924, 0.5522109044714795, 0.42852724253314245, 0.6761757475110475, 0.7071318106332856, 0.8, 0.8, 0.7574912730194254, 0.7574912730194254, 0.7574912730194253, 0.7574912730194253, 0.7468640912742817, 0.8, 0.8, 0.7487832811458015, 0.7487832811458015, 0.7487832811458015, 0.8, 0.6636487931993162, 0.6979066275073713]",1733907500
